,Unnamed: 0,Unnamed: 0.1,NEWID,Total expenses,Entertainment,Total Transportation cost,Total Housing,Total Food,Income After Taxes,Luxury expenses,Necessities,50%,30%,Income minus total expenses,possible savings,20%,50%_delta,30%_delta,20%_delta
38,38,38,3567464,3309.0,150.0,679.0,316.0,1430.0,23461.0,734.0,2425.0,0.4134521120156856,0.125143855760624,2556.25,852.0833333333335,0.4358296747794212,-0.0865478879843144,-0.17485614423937598,0.23582967477942118
39,39,39,3567484,12443.0,636.0,2314.0,4992.0,1760.0,72537.0,2741.0,9066.0,0.4999379626949005,0.15115044735790012,5691.25,1897.083333333333,0.31383983346430105,-6.2037305099516e-05,-0.14884955264209987,0.11383983346430104
40,40,40,3567494,5670.1,0.0,600.0,2107.0,2015.0,31882.2,948.1000000000003,4722.0,0.5924308861998231,0.11895038610886327,2300.45,766.8166666666666,0.28861872769131364,0.09243088619982309,-0.18104961389113672,0.08861872769131363
41,41,41,3567524,14493.25,785.0,1422.0,4458.0,845.0,92239.0,6983.25,6725.0,0.29163369073819106,0.30283285811858324,8566.5,2855.5,0.37149145155519897,-0.20836630926180894,0.002832858118583248,0.17149145155519896
42,42,42,3567534,14736.5,764.0,2510.0,7230.0,910.0,82041.0,3322.5,10650.0,0.5192525688375325,0.16199217464438512,5773.75,1924.583333333333,0.2815055886690801,0.019252568837532458,-0.13800782535561487,0.08150558866908009
43,43,43,3567544,5711.5,42.0,882.0,1380.0,2535.0,4020.0,872.5,4797.0,4.773134328358209,0.8681592039800995,-4706.5,-1568.833333333333,-4.683084577114427,4.273134328358209,0.5681592039800996,-4.883084577114428
44,44,44,3567554,9073.15,124.0,1782.0,3807.0,910.0,75443.0,2450.15,6499.0,0.3445780257943083,0.12990734726879896,9787.6,3262.5333333333333,0.5189401269832854,-0.1554219742056917,-0.17009265273120103,0.3189401269832854
45,45,45,3567594,11411.5,100.0,1523.0,4288.0,1430.0,49777.0,4070.5,7241.0,0.5818751632279968,0.32709886091970186,1032.75,344.25,0.08299013600658939,0.08187516322799682,0.027098860919701873,-0.11700986399341062
46,46,46,3567634,6865.0,312.0,1565.0,3014.0,780.0,54347.0,1194.0,5359.0,0.3944283953116087,0.08787973577198373,6721.75,2240.583333333333,0.49472831987046206,-0.10557160468839127,-0.21212026422801628,0.29472831987046205
47,47,47,3567664,7756.25,230.0,913.0,1881.5,1535.0,46985.4,3196.75,4329.5,0.3685825809719615,0.27214836949350224,3990.1,1330.0333333333335,0.3396884989805344,-0.1314174190280385,-0.02785163050649775,0.13968849898053437
